epoch,training_loss,training_acc,val_loss,val_acc
360,0.0041499953578828346,0.9988887,0.5240991967064994,0.79650295
361,0.003960500606177204,0.9988389,0.6109446287155151,0.8203125
362,0.003870440476105753,0.99893844,0.7590130141803196,0.7380952
363,0.0038176173671907202,0.99890524,0.7819743241582598,0.7782738
364,0.00340135366092712,0.99930334,0.7351394891738892,0.74553573
365,0.0021079555608738915,0.99933654,0.608312726020813,0.79761904
366,0.002026957731021603,0.99945265,1.0571653757776533,0.6979167
367,0.0027438263954711038,0.99918723,0.8399581142834255,0.7302827
368,0.003551903990612095,0.998756,0.7103552392550877,0.75744045
369,0.004700605402037211,0.998756,0.5754220059939793,0.82068455
370,0.0044276181064097945,0.99862325,0.84076441185815,0.75037205
371,0.006080875130751598,0.998192,1.2193061113357544,0.6703869
372,0.005949442477904491,0.998192,0.6718980925423759,0.8084077
373,0.0063291727753963575,0.9983413,0.45921419773783,0.8701637
374,0.005392973400624296,0.99840766,0.642056976045881,0.8370536
375,0.004464602369244651,0.9988555,0.6352417639323643,0.8251488
376,0.0028253672302667883,0.9990711,0.7445126516478402,0.7764137
377,0.00360358640791623,0.9988389,1.0463964939117432,0.73772323
378,0.0031327456828759313,0.9991043,0.7769945689610073,0.81287205
379,0.004439786117207225,0.99880576,0.7863454222679138,0.7157738
380,0.0038374828080877357,0.99882233,0.7775859747614179,0.7373512
381,0.0036744064379047574,0.9990379,0.9438274162156242,0.68712795
382,0.0035903349562536684,0.9990877,0.9945149166243417,0.6938244
383,0.004858400258941075,0.9985569,1.018218926021031,0.75706846
384,0.005556845423748751,0.99862325,0.703311596597944,0.8322173
385,0.0031991979392517636,0.99918723,0.8594004086085728,0.7708333
386,0.001992371257110978,0.9994029,0.8118341224534171,0.78683037
387,0.002638177676202672,0.99938625,0.8865818296160016,0.80654764
388,0.002505262670236263,0.99927014,0.7559996502740043,0.8333333
389,0.004729995848051412,0.99882233,0.8972091589655194,0.8489583
390,0.0024596078616655917,0.999237,0.6519909415926252,0.82105654
391,0.0026382407400570517,0.999237,0.8229015299252102,0.8005952
392,0.004880717588211409,0.99862325,0.9469725915363857,0.7697173
393,0.005898908401606234,0.9984906,0.7224017807415554,0.77790177
394,0.0049886787725757185,0.99873936,0.9092815858977181,0.77566963
395,0.0062824638806580355,0.99797636,0.597887669290815,0.80394346
396,0.004047511212281285,0.99868965,0.6222157393183027,0.8031994
397,0.0034044617064534527,0.9991043,0.9247520906584603,0.77008927
398,0.004180937649758203,0.99915403,0.4207720841680254,0.88467264
399,0.0019566973054111984,0.99941945,0.8321347747530256,0.7719494
400,0.0031147346251710604,0.99922043,0.5643550668443952,0.8478423
401,0.003549282069819571,0.99915403,1.1189809356416975,0.7645089
402,0.002030992428996513,0.99955213,0.5997673400810787,0.8318452
403,0.0016924245968861487,0.99950236,0.8622110741479057,0.77380955
404,0.0012310926051129034,0.9996849,0.6981004646846226,0.80022323
405,0.001707514443292549,0.999519,0.5692460281508309,0.83668154
406,0.005963488071842899,0.998474,1.0218345011983598,0.7875744
407,0.005587465517527081,0.9983579,0.7778434753417969,0.7745536
408,0.0044390469124563,0.9987062,0.8247550300189427,0.77566963
409,0.0032643535287825882,0.99902135,0.8664798055376325,0.7488839
410,0.002686868421242426,0.9992038,0.7904835087912423,0.78125
411,0.002743189453102407,0.99917066,0.7904922706740243,0.7667411
412,0.002185154159262635,0.99930334,0.7515849726540702,0.81696427
413,0.006789876503111731,0.9983579,0.6978080017226083,0.76897323
414,0.004219895242107911,0.99873936,1.0531215838023595,0.7250744
415,0.0031958924954718095,0.9990379,0.7436074359076363,0.7607887
416,0.0037345597455574987,0.998955,0.7624553271702358,0.77157736
417,0.0027696677352491714,0.99913746,0.8957328455788749,0.73511904
418,0.0028027893998620068,0.99913746,0.9572754842894418,0.74255955
419,0.0024072514797869806,0.99930334,0.7308100036212376,0.7838542
420,0.0027434336262235686,0.9990048,0.7515256745474679,0.7578125
421,0.002040340025901552,0.9994858,0.7668608001300267,0.8087798
422,0.0020794823690702922,0.999436,0.6381882514272418,0.81994045
423,0.0023540003745546193,0.9993199,0.7462169868605477,0.7704613
424,0.00304156602824179,0.99927014,1.028098693915776,0.73400295
425,0.003836812287272044,0.9989882,0.7956592440605164,0.7905506
426,0.0036693696898232398,0.99918723,0.6883265972137451,0.78683037
427,0.0017891590997989471,0.99950236,0.5853262713977269,0.8188244
428,0.0028733673031933757,0.9992038,0.6598375865391323,0.83519346
429,0.0027901875281135156,0.999237,0.8003698331969125,0.82254463
430,0.004152181031880463,0.998955,0.7240382092339652,0.8266369
431,0.003652996285257773,0.9990048,0.5804286514009748,0.80394346
432,0.006821720616350142,0.99802613,1.0775235210146223,0.7589286
433,0.009908054620425693,0.99764466,1.1568325332232885,0.74441963
